rating,shown,time,price,address,subway,minutes_to_subway,rooms,total_area,balcony,type_of_renovation,type_of_house,link,cur_floor,cnt_floors,sqmeter_price
,,2022-08-02,9900000,"Санкт-Петербург, пос. Парголово, ул. Михаила Дудина, 25к1",Парнас,10,2,65.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_65m_225et._2436913136,2,25,152307.0
,,2022-08-02,8500000,"Санкт-Петербург, Софийская ул., 37к1",Международная,20,3,58.0,балкон,неизвестно,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_588m_69et._2493209824,6,9,146551.0
,,2022-08-02,8650000,"Санкт-Петербург, Октябрьская наб., 124",Обухово,31,3,72.0,нет,дизайнерский,блочный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_72m_19et._2495951443,1,9,120138.0
,,2022-08-02,6800000,"Санкт-Петербург, пр-т Народного Ополчения, 105",Проспект Ветеранов,15,2,42.0,нет,дизайнерский,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_42m_35et._2495429348,3,5,161904.0
,,2022-08-02,10000000,"Санкт-Петербург, территория Усть-Славянка, Советский пр-т, 41к1",Рыбацкое,30,2,52.0,лоджия,неизвестно,монолитный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_526m_1524et._2493664086,15,24,192307.0
,,2022-08-02,7900000,"Санкт-Петербург, Ленинский пр-т, 75к2",Проспект Ветеранов,31,2,51.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_51m_316et._1896207304,3,16,154901.0
,,2022-08-02,6100000,"Санкт-Петербург, пр-т Большевиков, 51",Улица Дыбенко,30,2,46.0,нет,неизвестно,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_46m_35et._2429358454,3,5,132608.0
,,2022-08-02,7700000,"Санкт-Петербург, Будапештская ул., 5к1",Международная,15,3,59.0,лоджия,косметический,монолитный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_597m_69et._2473121857,6,9,130508.0
,,2022-08-02,7800000,"Санкт-Петербург, Чарушинская ул., 2",Гражданский проспект,31,2,57.0,лоджия,неизвестно,монолитный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_57m_925et._2493145089,9,25,136842.0
,,2022-08-02,9200000,"Санкт-Петербург, Муринская дорога, 74к1",Девяткино,30,2,60.0,лоджия,косметический,монолитный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_60m_915et._2515060440,9,15,153333.0
,,2022-08-02,7300000,"Санкт-Петербург, Искровский пр-т, 26",Улица Дыбенко,15,2,43.0,балкон,неизвестно,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_439m_49et._2493655716,4,9,169767.0
,,2022-08-02,7800000,"Санкт-Петербург, ул. Дыбенко, 18к1",Улица Дыбенко,15,2,50.0,лоджия,неизвестно,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_501m_79et._2172929275,7,9,156000.0
,,2022-08-02,8150000,"Санкт-Петербург, пос. Парголово, ул. Архитектора Белова, 6к3",Парнас,15,2,63.0,нет,требует ремонта,монолитный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_633m_1127et._2459170881,11,27,129365.0
,,2022-08-02,6000000,"Санкт-Петербург, ул. Черкасова, 9",Гражданский проспект,20,2,44.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_445m_15et._2508017728,1,5,136363.0
,,2022-08-02,7900000,"Санкт-Петербург, ул. Коммуны, 48",Ладожская,31,3,59.0,лоджия,неизвестно,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_59m_79et._2364899547,7,9,133898.0
,,2022-08-02,8600000,"Санкт-Петербург, Серпуховская ул., 31",Технологический ин-т I,10,2,30.0,нет,неизвестно,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_306m_34et._2365438188,3,4,286666.0
,,2022-08-02,7500000,"Санкт-Петербург, Институтский пр-т, 4к1",Площадь Мужества,20,2,50.0,балкон,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_509m_45et._2508237115,4,5,150000.0
,,2022-08-02,9500000,"Санкт-Петербург, пр-т Большевиков, 5",Проспект Большевиков,10,2,50.0,нет,неизвестно,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_507m_59et._2461150340,5,9,190000.0
,,2022-08-02,9000000,"Санкт-Петербург, пр-т Энтузиастов, 47к1",Ладожская,31,3,60.0,балкон,неизвестно,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_60m_69et._2429128825,6,9,150000.0
,,2022-08-02,6300000,"Санкт-Петербург, Новоизмайловский пр-т, 32к2",Парк Победы,20,2,45.0,нет,неизвестно,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_451m_15et._2333757279,1,5,140000.0
,,2022-08-02,9100000,"Санкт-Петербург, ул. Подвойского, 28к1",Улица Дыбенко,15,3,65.0,балкон,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_651m_49et._2385259972,4,9,140000.0
,,2022-08-02,6400000,"Санкт-Петербург, пр-т Мечникова, 10",Площадь Мужества,31,2,42.0,балкон,неизвестно,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_421m_57et._2493075767,5,7,152380.0
,,2022-08-02,8900000,"Санкт-Петербург, Гражданский пр-т, 123к1",Гражданский проспект,10,3,59.0,лоджия,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_598m_69et._2379197092,6,9,150847.0
,,2022-08-02,9950000,"Санкт-Петербург, территория Усть-Славянка, Советский пр-т, 16",Рыбацкое,30,2,60.0,лоджия,евро,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_60m_2029et._2421417564,20,29,165833.0
,,2022-08-02,7500000,"Санкт-Петербург, пр-т Косыгина, 30к2",Проспект Большевиков,31,2,54.0,балкон,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_545m_1016et._2307315080,10,16,138888.0
,,2022-08-02,10000000,"Санкт-Петербург, пр-т Солидарности, 25к3",Улица Дыбенко,15,2,54.0,лоджия,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_54m_414et._2384545294,4,14,185185.0
,,2022-08-02,9000000,"Санкт-Петербург, пр-т Маршака, 2к1",Девяткино,30,2,58.0,балкон,дизайнерский,монолитный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_58m_1118et._2412928218,11,18,155172.0
,,2022-08-02,8000000,"Санкт-Петербург, пр-т Наставников, 26к1",Ладожская,31,2,51.0,лоджия,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_51m_1014et._2479151672,10,14,156862.0
,,2022-08-02,6000000,"Санкт-Петербург, Тимуровская ул., 10к3",Гражданский проспект,30,2,45.0,балкон,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_457m_45et._2478752109,4,5,133333.0
,,2022-08-02,8000000,"Санкт-Петербург, ул. Карпинского, 26",Академическая,30,3,59.0,балкон,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_596m_35et._2467727656,3,5,135593.0
,,2022-08-02,9300000,"Санкт-Петербург, пр-т Художников, 33к1",Проспект Просвещения,30,3,63.0,балкон,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_63m_69et._2449292316,6,9,147619.0
,,2022-08-02,7950000,"Санкт-Петербург, ул. Карбышева, 4к1",Площадь Мужества,15,2,45.0,балкон,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_45m_79et._2449079839,7,9,176666.0
,,2022-08-02,6800000,"Санкт-Петербург, Ново-Александровская ул., 11",Пролетарская,10,2,46.0,нет,дизайнерский,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_46m_25et._2449484325,2,5,147826.0
,,2022-08-02,7400000,"Санкт-Петербург, Авангардная ул., 11",Проспект Ветеранов,31,3,59.0,балкон,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_59m_35et._2517370905,3,5,125423.0
