,id,rating,time,price,sqmeter_price,address,subway,rooms,minutes_to_subway,total_area,balcony,type_of_renovation,type_of_house,link,cur_floor,cnt_floors,shown
343,344,184.2478747309911,21-июля-в-21:47,8950000,186458,"Санкт-Петербург, Звёздная ул., 14",Звёздная,2,15,48.0,балкон,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_482m_79et._2447071220,7,9,
344,345,143.70229140976556,21-июля-в-21:44,9190000,153166,"Санкт-Петербург, аллея Евгения Шварца, 11",Девяткино,2,30,60.0,балкон,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_60m_1024et._2254339211,10,24,
345,346,192.29548920019204,21-июля-в-21:33,9999999,175438,"Санкт-Петербург, Сиреневый б-р, 22/26",Проспект Просвещения,3,30,57.0,лоджия,дизайнерский,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_576m_29et._2394686450,2,9,
346,347,134.91132185828224,21-июля-в-21:32,8500000,163461,"Санкт-Петербург, Русановская ул., 19к1",Обухово,2,31,52.0,балкон,косметический,монолитный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_529m_910et._2497138761,9,10,
347,348,182.312049115629,21-июля-в-20:57,9970000,166166,"Санкт-Петербург, Заозёрная ул., 3",Фрунзенская,2,10,60.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_609m_16et._2460007413,1,6,
348,349,182.312049115629,21-июля-в-20:57,9970000,166166,"Санкт-Петербург, Заозёрная ул., 3",Фрунзенская,2,10,60.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_609m_16et._2460007413,1,6,
349,350,200.50979429265067,21-июля-в-20:22,9700000,285294,"Санкт-Петербург, Коломяжский пр-т, 15к1",Пионерская,2,5,34.0,балкон,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_346m_525et._2463841041,5,25,
350,351,139.47066785517126,21-июля-в-20:21,8990000,149833,"Санкт-Петербург, Будапештская ул., 69к2",Проспект Славы,3,30,60.0,лоджия,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_608m_19et._2417586935,1,9,
351,352,147.06841136335123,21-июля-в-19:24,7800000,104000,"Санкт-Петербург, Колпинский р-н, пос. Металлострой, Железнодорожная ул., 9",Рыбацкое,3,31,75.0,нет,евро,блочный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_758m_13et._2234172390,1,3,
352,353,171.36307369524738,21-июля-в-18:53,8800000,162962,"Санкт-Петербург, Караваевская ул., 10к1",Рыбацкое,2,15,54.0,лоджия,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_548m_89et._2424542469,8,9,
